grand totals:
| :marketvalue | :bookvalue |    :diff |
|-------------:|-----------:|---------:|
|    204855.84 |   206755.7 | -1899.86 |



60359386 tfsa_ranjana
| :ticker | :qty | :marketvalue | :bookvalue |   :diff | :%diff | :%port |
|---------|-----:|-------------:|-----------:|--------:|-------:|-------:|
|    ARKX |   40 |      1006.80 |    1021.27 |  -14.47 |  -1.42 |   1.13 |
|    ARKQ |   10 |       995.77 |    1010.73 |  -14.96 |  -1.48 |   1.12 |
|    ARKW |   20 |      3655.94 |    3389.20 |  266.74 |   7.87 |   4.10 |
|    ARKF |   20 |      1288.78 |    1232.30 |   56.48 |   4.58 |   1.44 |
|    ARKG |   10 |      1008.47 |    1038.80 |  -30.33 |  -2.92 |   1.13 |
|    ARKK |   30 |      4381.65 |    4134.07 |  247.58 |   5.99 |   4.91 |
|    TRMB |   40 |      4563.44 |    3967.05 |  596.39 |  15.03 |   5.11 |
|    PATH |   66 |      5111.50 |    5816.30 | -704.80 | -12.12 |   5.73 |
|       U |   33 |      4928.19 |    4559.57 |  368.62 |   8.09 |   5.52 |
|         |      |     26940.54 |   26169.29 |  771.25 |        |        |

58748842 prader
| :ticker | :qty | :marketvalue | :bookvalue |    :diff | :%diff | :%port |
|---------|-----:|-------------:|-----------:|---------:|-------:|-------:|
|    TWOU |   20 |       904.42 |     908.52 |    -4.10 |  -0.45 |   0.25 |
|     DDD |   40 |      1397.32 |    1879.01 |  -481.69 | -25.64 |   0.38 |
|     MMM |   30 |      7518.66 |    7486.89 |    31.77 |   0.42 |   2.03 |
|    DOCU |   20 |      7359.58 |    6853.15 |   506.43 |   7.39 |   1.99 |
|    VEGN |   30 |      1537.92 |    1414.78 |   123.14 |   8.70 |   0.42 |
|    PLTR |  200 |      6198.80 |    5561.50 |   637.30 |  11.46 |   1.68 |
|    ROKU |   18 |      7928.55 |    8806.60 |  -878.05 |  -9.97 |   2.15 |
|    SKLZ |  100 |      1294.40 |    2941.29 | -1646.89 | -55.99 |   0.35 |
|    TDOC |   40 |      6958.32 |    7425.69 |  -467.37 |  -6.29 |   1.88 |
|    TSLA |   12 |     10367.72 |    9748.45 |   619.27 |   6.35 |   2.81 |
|    TWLO |   10 |      4378.06 |    4916.95 |  -538.89 | -10.96 |   1.19 |
