Category,Sub-Category,Status,"Asset Name","Last Quarter","Last Quarter Revenue (millions)","Nanalyze Valuation Ratio",ETF,SPAC,"Primary Ticker","Secondary Ticker","Refinitiv Lookup","Price as of 7/16/2021","Market Cap
(millions)",Currency,"Avg. Purchase Price","Gain Loss","Nanalyze Notes","Latest Article Date","Latest Article"
"3D Printing","3D Bioprinting",Loving,Cellink,1Q2021,129.5,43.74293436293436,,,CLNKB:SS,CLLKF,#VALUE!,411.4,22658.84,SEK,248,0.6588709677419354,"Recently surpassed $1 billion market cap and we are now accumulating the stock under 248 SEK",2021/01/21,https://www.nanalyze.com/2021/01/3d-bioprinting-stock-cellink/
"3D Printing","3D Bioprinting",Avoiding,Organovo,,,,,,ONVO,,#VALUE!,8.57,74.54296,USD,,,"Organovo is a company without a plan that cannot manage to monetize whatever it is they're working on these days.",2020/04/16,https://www.nanalyze.com/2020/04/organovo-stock-continues-drop/
"3D Printing","3D Printing - General",Liking,"Align Technology",1Q2021,894.77,13.30278451445623,,,ALGN,,#VALUE!,601.64,47611.73,USD,,,"Fairly niche application enabled by 3Dprinting but not neccesarily a pure-play on the theme. Good business but no plans to enter a position.",2017/09/27,https://www.nanalyze.com/2017/09/align-technology-3d-printing-stock/
"3D Printing","3D Printing - General",Avoiding,"3D Systems",,,,,,DDD,,#VALUE!,27.95,3495.141,USD,,,"Declining revenue growth for past several years coupled with a great deal of hype across all 3D printing stocks means we're avoiding. Another look is merited when revenue growth resumes.",2019/08/02,https://www.nanalyze.com/2019/08/poor-performance-3d-printing-stocks/
"3D Printing","3D Printing - General",Avoiding,"Aurora Labs",,,,,,A3D.AX,,#VALUE!,0.074,11.31434,AUD,,,"We're still waiting for meaningful revenues to come from this miniscule company that hasn't done investors any favors over the past five years as it continues to slide.",2016/09/04,https://www.nanalyze.com/2016/09/3d-printing-metals-ipo-aurora-labs
"3D Printing","3D Printing - General",Avoiding,Materialise,,,,,,MTLS,,#VALUE!,23.08,1342.578,USD,,,"As investors in Protolabs we're avoiding Materialize, a company that derives a majority of their revenues from on-demand-manufacturing.",2020/08/12,https://www.nanalyze.com/2020/08/3d-printing-stock-diversified/
"3D Printing","3D Printing - General",Avoiding,"Nano Dimension",,,,,,NNDM,,#VALUE!,7.68,1911.038,USD,,,"Nano Dimension has been on an absolute tear thanks to the ARK effect. We’re advising investors to continue avoiding the company until they can show traction in the form of revenue growth.",2021/01/27,https://www.nanalyze.com/2021/01/nano-dimension-stock-forecast/
"3D Printing","3D Printing - General",Avoiding,Stratasys,,,,,,SSYS,,#VALUE!,21.63,1373.803,USD,,,"Declining revenue growth for past four  years coupled with a great deal of hype across all 3D printing stocks means we're avoiding. Another look is merited when revenue growth resumes.",2019/08/03,https://www.nanalyze.com/2019/08/poor-performance-3d-printing-stocks/
"3D Printing","3D Printing - General",Avoiding,"Titomic Limited",,,,,,TTT.AX,,#VALUE!,0.475,72.79359,AUD,,,"Revenues aren't meaningful, they're issuing shares left and right, and that giant titanium paperweight they printed and callled a rocket isn't impressing us much.",2020/01/29,https://www.nanalyze.com/2020/01/3d-printing-stock-titomic-ttt/
"3D Printing","3D Printing Metals",Liking,"Desktop Metal","1Q 2021",11.31,71.06748452696728,,Y,DM,,#VALUE!,12.57,3215.093,USD,,,"We trimmed 10% of our position at $22.10 which covered 23% of our cost basis. We may trim again in the mid-20s. We may add that back in if the stock falls below our purchase price.",2020/09/21,https://www.nanalyze.com/2020/09/desktop-metal-stock-additive-manufacturing/
"3D Printing","3D Printing Metals",Avoiding,Markedforged,,,,,Y,AONE,,#VALUE!,9.99,268.4813,USD,,,"In the CEO’s letter, he talks about filing an S-4. Until that document is filed, we don’t have enough information to make an informed investment decision here.",2020/02/27,https://www.nanalyze.com/2021/02/markforged-stock-3d-printing-ai/
"3D Printing","3D Printing Metals",Avoiding,ExOne,,,,,,XONE,,#VALUE!,20.02,444.7743,USD,,,"Falls below our market cap cutoff. Revenue growth streak broke in 2019. Opting to hold Desktop Metal instead given their aggressive growth plans via acquisition.",2019/08/03,https://www.nanalyze.com/2019/08/poor-performance-3d-printing-stocks/
"3D Printing","3D Printing Metals",Avoiding,Velo3D,,,,,Y,SPFR,,#VALUE!,9.99,430.8188,USD,,,"Rare is the case we would ever invest in a company that derived a sizable chunk of revenues from a single customer, and 30% from SpaceX sits right on that threshold. Will compare w/ others later.",2021/04/03,https://www.nanalyze.com/2021/04/velo3d-stock-3d-printing-metals-stock/
"3D Printing","Distributed Manufacturing",Loving,"Proto Labs",1Q2021,116.13,5.142499784724016,,,PRLB,,#VALUE!,86.27,2388.794,USD,112.51,-0.2332237134476936,"A leader in the distributed manufacturing space. We'll continue to slowly accumulate when the price dips below our average purchase price.",2019/09/24,https://www.nanalyze.com/2019/09/protolabs-3d-printing-stock/
"3D Printing","Distributed Manufacturing",Liking,Xometry,,,,,,XMTR,,#VALUE!,65.81,2889.367648,USD,,,"Xometry does what Protolabs does, but using a marketplace instead of buying equipment. We like their revenue growth but think the Protolabs business model wins in the long run.",2021/06/16,https://www.nanalyze.com/2021/06/xometry-stock-manufacturing-marketplace/
"3D Printing","Distributed Manufacturing",Avoiding,Shapeways,,,,,Y,SHPW,,#VALUE!,10,174,USD,,,"Protolabs already has the business model that Shapeways wants, so we’re going with the lower risk option and choosing Protolabs over Shapeways. Size over beauty.",2021/04/30,https://www.nanalyze.com/2021/04/long-protolabs-stock-not-shapeways-stock/
"AR / VR","AR/VR Content",Loving,"Unity Software",1Q2021,234.77,31.248040635515608,,,U,,#VALUE!,105.02,29344.41,USD,110.2,-0.047005444646098064,"93 of the top 100 game dev studios by global revenue in 2019 were Unity customers. This would be one company you want to own regardless of how future worlds are rendered to the user. ",2021/01/31,https://www.nanalyze.com/2021/01/unity-software-stock-invest-vr/
"AR / VR","AR/VR Content",Avoiding,"C4X Discovery",,,,,,C4XD.L,,#VALUE!,38.5,87.17425,GBp,,,"Given their small market cap and lack of revenues we’ll be avoiding them until that changes. Also, the market cap number being pulled here is suspicious. ",2019/07/31,https://www.nanalyze.com/2019/07/virtual-reality-drug-discovery/
"AR / VR","AR/VR Content",Avoiding,"Mirriad Advertising",,,,,,MIRI.L,MMDDF,#VALUE!,49,136.706,GBp,,,"The company lacked proper leadership and direction as their stock tumbled downhill, it's since recovering, but it's a small company with miniscule revenues. Where the revenue growth?",2019/08/31,https://www.nanalyze.com/2019/08/mirriad-native-in-video-advertising/
"AR / VR","AR/VR Content",Avoiding,"WIMI Hologram",,,,,,WIMI,,#VALUE!,5.53,479.4955,USD,,,"WIMI Hologram’s own filings contain extensive warnings about their VIE structure, and it’s something that firmly places this stock in the “avoid” category along with not meeting our market cap cutoff.",2019/07/17,https://www.nanalyze.com/2019/07/chinese-augmented-reality-stock/
"AR / VR","AR/VR Hardware",Liking,TOBII,1Q2021,338.7,4.756527162680839,,,TOBII.ST,TBIIF,#VALUE!,64.85,6444.143,SEK,,,"Revenue growth has been consistent, though it expectedly stumbled a bit in 2020 because of the you-know-what. Tobii’s market cap of $830 million places it just outside our market cap cutoff of $1 billion. ",2018/12/18,https://www.nanalyze.com/2018/12/eye-tracking-technology/
"AR / VR","AR/VR Hardware",Avoiding,"AMS AG",,,,,,AMS.SW,AUKUF,#VALUE!,16.33,4834.189,EUR,,,"Company doesn’t provide color on what percentage of revenues are coming from the sale of VCSELs which are a crucial component for AR / VR hardware implementations.",2018/06/06,https://www.nanalyze.com/2018/06/augmented-reality-stocks-picks-shovels/
"AR / VR","AR/VR Hardware",Avoiding,"HTC Corporation",,,,,,2498.TW,HTCXF,#VALUE!,39.95,32704.84,TWD,,,"Given their stated goal of becoming an enterprise VR leader, they’re worth watching, but until they segment their revenues, we’re left wondering what’s working and what’s not. ",2017/01/14,https://www.nanalyze.com/2017/01/htc-virtual-reality-stock/
"AR / VR","AR/VR Hardware",Avoiding,Kopin,,,,,,KOPN,,#VALUE!,8.68,792.3527,USD,,,"Profitability and consistent revenue growth seem like foreign concepts to Kopin but now they seem to be on the right track. Market cap approaching one billion. Follow-up article added to editorial queue.",2017/05/31,https://www.nanalyze.com/2017/05/kopin-kopn-ar-vr-stock/
"AR / VR","AR/VR Hardware",Avoiding,"Lumentum Holdings",,,,,,LITE,,#VALUE!,80.02,6073.518,USD,,,"A few years ago, VCSELs account for about 17.6% of the company’s revenues. Has since merged with Coherent (lasers) so need to research newly formed entity. Task added to our research queue.",2018/06/06,https://www.nanalyze.com/2018/06/augmented-reality-stocks-picks-shovels/
"AR / VR","AR/VR Hardware",Avoiding,"Vuzix Corporation",,,,,,VUZI,,#VALUE!,15.75,993.3969,USD,,,"The company’s $665 million market cap places it outside our market cap cutoff. Should we see revenues resume their growth trajectory and clear the $10 million mark, we may take another look. ",2016/09/12,https://www.nanalyze.com/2016/09/vuzix-augmented-reality-smart-glasses/
"Artificial Intelligence","AI - General",Liking,"Stitch Fix",1Q2021,504.09,3.1442163105794605,,,SFIX,,#VALUE!,59.18,6339.872,USD,,,"Impressive revenue growth. Uses AI algorithms to act as personal stylists for people. Not really feeling the AI on this one. Doesn't really fit a ""like"" or ""avoid"" so  removed from report.",2017/10/23,https://www.nanalyze.com/2017/10/stitch-fix-artificial-intelligence-ipo/
"Artificial Intelligence","AI - General",Avoiding,"AI Powered Equity",,,,Y,,AIEQ,,#VALUE!,40.12,154.05840255,USD,,,"Uses IBM Watson to analyze millions of data points for universe of 6,000 stocks, ultimately holds 30 to 70 positions. Expense fee is .75% and comes with a couple of expensive humans to oversee the AI.",2017/11/07,https://www.nanalyze.com/2017/11/5-etfs-funds-artificial-intelligence/
"Artificial Intelligence","AI - General",Avoiding,Cootek,,,,,,CTK,,#VALUE!,1.77,114.345,USD,,,"Company falls beneath our market cap limit, shares are sliding over time for whatever reason, trades using a VIE structure which we're avoiding.",2018/08/30,https://www.nanalyze.com/2018/08/100-million-chinese-artificial-intelligence-ipo/
"Artificial Intelligence","AI - General",Avoiding,"Tribune Publishing Company",,,,,,TPCO,,#VALUE!,17.19,633.8701,USD,,,"NantWorks licensed a portfolio of AI patents to Tronc (now called Tribune). Declining revenues and nothing leads us to believe much AI innovation is happening here.",2016/11/09,https://www.nanalyze.com/2016/11/ai-stock-media-tronc/
"Artificial Intelligence","AI - General",Avoiding,Veritone,,,,,,VERI,,#VALUE!,22.93,749.4331,USD,,,"Appreciated 300% in days which seemed to be more of a pump-and-dump. Today, revenues growth is there and shares are climbing again. Worth taking a look again. Added to editorial queue.",2017/09/22,https://www.nanalyze.com/2017/09/veritone-itus-corp-ai-pump-dumps/
"Artificial Intelligence","AI Chips",Loving,NVIDIA,1Q2021,5000,23.223885,,,NVDA,,#VALUE!,745.55,464477.7,USD,82.97,7.985777992045317,"We've been longtime shareholders in NVIDIA because as a pick-and-shovel play on AI. They're now moving in the software and data direction. Heavily exposed to gaming but that's changing. ",2020/05/03,https://www.nanalyze.com/2020/05/nvidia-stock-invest-ai-chips/
"Artificial Intelligence","AI Chips",Liking,Synopsys,1Q2021,970.32,10.451077994888283,,,SNPS,,#VALUE!,265.86,40563.56,USD,,,"All leading semiconductor companies in the world use Synopsys technology in some form or another. We're overweight NVIDIA so would only consider SNPS if it went on sale at a major discount.",2020/04/05,https://www.nanalyze.com/2020/04/invest-ai-chips-stock/
"Artificial Intelligence","AI Chips",Liking,Xilinx,2Q2021,850.99,9.528919258745697,,,XLNX,,#VALUE!,131.92,32436.06,USD,,,"We like the potential for FPGAs, but believe NVIDIA is a more attractive stock to hold. Also, we're overweight NVIDIA and not wanting more semiconductor exposure.",2017/05/25,https://www.nanalyze.com/2017/05/xilinx-investing-fpgas-ai-hardware/
"Artificial Intelligence","AI Chips",Avoiding,"Advanced Micro Devices",,,,,,AMD,,#VALUE!,84.65,102851.5,USD,,,"AMD is not a formidable contender when it comes to selling GPU-based AI hardware, and we're avoiding the stock in favor of the biggest chipmaker in the world - NVIDIA.",2017/05/14,https://www.nanalyze.com/2017/05/investing-gpus-ai-amd-vs-nvidia/
"Artificial Intelligence","AI Healthcare",Loving,Schrodinger,1Q2021,32.13,40.601338313103014,,,SDGR,,#VALUE!,74.01,5218.084,USD,50.97,0.45203060623896424,"Using machine learning to bring drugs to market faster is a no-brainer, especially when all of the top 20 pharmaceutical companies use your product. Will buy on dips below avg. purchase price.",2020/08/27,https://www.nanalyze.com/2020/08/leader-artificial-intelligence-drug-discovery/
"Artificial Intelligence","AI Healthcare",Liking,"RaySearch Laboratories",1Q2021,162.1,3.672614127082048,,,RAY-B.ST,RSLBF,#VALUE!,92.2,2381.323,SEK,,,"A world leader in software for radiation therapy. Strong revenue growth hit a brick wall with ""The Rona."" They fall beneath our market cap cutoff of $1 billion now but on our watch list.",2021/02/25,https://www.nanalyze.com/2021/02/small-global-stocks-ai-algorithms/
"Artificial Intelligence","AI Healthcare",Liking,RenalytixAI,,,,,,RNLX,RTNXF,#VALUE!,32.44,816.9965,USD,,,"We largely avoid pre-revenue companies but the man leading the charge here is a proven winner with exits under his belt. We're liking the stock and may consider moving in when revenues arrive.",2020/06/26,https://www.nanalyze.com/2020/06/renalytix-ai-kidney-disease-diagnostics/
"Artificial Intelligence","AI Healthcare",Liking,"Recursion Pharmaceuticals",,,,,,RXRX,,#VALUE!,36.43,6131.925,USD,,,"Meaningful revenus not here yet. Picking up shares here will be based on what the company promises in the future. In bed with Bayer is good and bad. Waiting until one of their drugs sees some traction.",2021/03/27,https://www.nanalyze.com/2021/03/recursion-stock-drug-discovery-ai/
"Artificial Intelligence","AI Healthcare",Avoiding,"Bioexcel Therapeutics",,,,,,BTAI,,#VALUE!,37.79,930.8428,USD,,,"The BioXcel S-1 filing showed a convoluted structure of platforms, license grants, companies, and subsidiaries that we couldn’t understand and, after a time, didn’t even want to. ",2018/02/26,https://www.nanalyze.com/2018/02/bioxcel-ai-drug-development-ipo/
"Artificial Intelligence","AI Healthcare",Avoiding,iCAD,,,,,,ICAD,,#VALUE!,18.21,454.6357,USD,,,"Revenue numbers are meaningful, though growth has been slow. Many players already dabbling here. Might be worthwhile to compare to Australia's Volpara.",2021/02/24,https://www.nanalyze.com/2021/02/small-global-stocks-ai-algorithms/
"Artificial Intelligence","AI Healthcare",Avoiding,"Lantern Pharma",,,,,,LTRN,,#VALUE!,15.09,168.728,USD,,,"Past tenure of leadership team raises questions, company falls beneath our market cap threshold of $1 billion, some science by press release, a seemingly needless pandemic pivot. ",2020/04/23,"https://www.nanalyze.com/2020/04/lantern-pharma-ipo-raises-questions/ "
"Artificial Intelligence","AI Healthcare",Avoiding,Sema4,,,,,Y,CMLF,,#VALUE!,13.84,765.9575,USD,,,"Our biggest concern is that 86% of Sema4’s 2020 revenues come from offering direct testing for women’s health use cases, not precision medicine. Will check in a year from now.",2021/06/01,https://www.nanalyze.com/2021/06/sema4-stock-ai-precision-medicine/
"Artificial Intelligence","Computer Vision",Liking,Ambarella,1Q2021,62.14,14.293365786932732,,,AMBA,,#VALUE!,97.93,3552.759,USD,,,"Aims to turn around falling revenues and increasing losses by going into smart security cameras and computer visions for autonomous vehicles. We're watching the turnaround from the sidelines.",2020/01/16,https://www.nanalyze.com/2020/01/ambarella-artificial-intelligence-stock/
"Artificial Intelligence","Computer Vision",Liking,"ISRA Vision",4Q2020,25.94,9.9687933693138,,,ISR:GR,,#VALUE!,47.25,1034.362,EUR,,,"Revenue growth has stalled and we're waiting for management to turn it around. In the year of The Rona, revenues are stalling even more. ",2017/09/01,https://www.nanalyze.com/2017/09/machine-vision-stock/
"Artificial Intelligence","Computer Vision",Avoiding,"Stemmer Imaging",,,,,,S9I:GR,,#VALUE!,27.3,174.2,EUR,,,"Stemmer’s small size, single-digit revenue growth rate, and overexposure to its German home market make it less attractive than other stocks exposed to this theme. Removed from report 2/17/2021.",2020/01/10,https://www.nanalyze.com/2020/01/stock-computer-machine-vision/
